"Init" "MLE" "AIC" "BIC" "AIC.Orig" "BIC.Orig" "Cheng" "NPMLE" "TreeTN" "TreeAll" "logi"
"Cstat" 0.86308074971179 0.864148505361086 0.864148505361086 0.856658993588794 0.856658993588794 0.856658993588794 0.86308074971179 0.867851642094193 0.867911035177281 0.849136573648985 0.848097942607841
"BrierSc.Adj" 0.220067844804367 0.456727803169579 0.456727952428927 0.447331843848169 0.447331843848169 0.447331843848169 0.220792023373654 0.443035924071275 0.177704605800042 0.00194891855240864 0.0875746139093542
