"bgbm.init" "" "AIC" "BIC" "AIC.Orig" "BIC.Orig"
-10.8770051788253 -11.5847895849943 -11.5848004828834 -11.554948524136 -11.554948524136 -11.554948524136
5.00925420923982 5.59382113913673 5.59382011989833 5.60048147707659 5.60048147707659 5.60048147707659
5.01965359253366 5.89250766074314 5.89252132670487 5.90847642051526 5.90847642051526 5.90847642051526
6.18661670360536 6.92080069786836 6.92083226274443 6.93915197628207 6.93915197628207 6.93915197628207
5.74039346390499 6.772326388158 6.77234415107429 6.74566276829552 6.74566276829552 6.74566276829552
6.72272120545553 7.6684336984275 7.66846256409056 7.6737201843724 7.6737201843724 7.6737201843724
6.34477681356089 7.80916597913762 7.80919636078402 7.80013111283268 7.80013111283268 7.80013111283268
6.04555353066893 7.75367596817774 7.75367622094654 7.77305914945916 7.77305914945916 7.77305914945916
6.82973653624377 9.13644975831703 9.13644821812386 9.14322703738498 9.14322703738498 9.14322703738498
5.94276850934092 8.73429131737729 8.73430724183409 8.74775074767914 8.74775074767914 8.74775074767914
5.00475498665618 9.91951977277444 9.91953515854974 9.94985574944888 9.94985574944888 9.94985574944888
-0.229527395984869 -0.255064243785464 -0.255059807062757 -0.251567508167494 -0.251567508167494 -0.251567508167494
-0.0507220119167769 -0.258385984710318 -0.25838947567751 -0.278113593733433 -0.278113593733433 -0.278113593733433
-0.0192004751086285 -0.514400046455823 -0.51440901278521 -0.510284329344359 -0.510284329344359 -0.510284329344359
0.0515182411683971 0.287862275563685 0.287876550887689 0.254183161573127 0.254183161573127 0.254183161573127
0.941858608173601 0.875527780394199 0.875514880106124 0.919326104042104 0.919326104042104 0.919326104042104
-0.796423981666605 0.334844818486137 0.334854059962522 0.296203844720853 0.296203844720853 0.296203844720853
-0.0631731734544597 0.588537744431192 0.588552931596805 0.53541944472022 0.53541944472022 0.53541944472022
0.2099410140131 0.244999481899022 0.24497692270635 0 0 0
0.316256625370509 0.211570481730343 0.211535864510331 0 0 0
0.10140035213576 0.245199613433501 0.245187036748544 0 0 0
-0.194529312723641 -0.0714611197005867 -0.0714518206111235 0 0 0
2.0029960870429 2.44935394273365 2.44933214396026 2.21484897364015 2.21484897364015 2.21484897364015
-0.493619947963102 -1.95839629007232 -1.95838602550141 -1.69637383738307 -1.69637383738307 -1.69637383738307
